PEL00001;31012018145201;novan;Bogor;TAR00003;19;
PEL00002;30012018145201;syubi;Bandung;TAR00003;20;
PEL00003;29012018145201;siska;Tasikmalaya;TAR00002;19;
PEL00004;28012018135201;defri;Garut;TAR00001;19;
PEL00005;28012018125201;jufri;Jakarta;TAR00004;19;
PEL00006;28012018095201;andi;Surabaya;TAR00005;19;
PEL00007;30012018115201;vina;Banten;TAR00004;19;
PEL00008;27012018115201;dhea;Yogyakarta;TAR00002;19;
PEL00009;27012018105201;juminten;Surabaya;TAR00001;19;
PEL00010;27012018135201;tata;Medan;TAR00003;19;
PEL00011;26012018145201;firly;Sulawesi;TAR00001;19;
PEL00012;25012018145201;tina;Blitar;TAR00006;19;
PEL00013;24012018145201;febri;Bandung;TAR00006;19;
PEL00014;23012018145201;feni;Jakarta;TAR00002;19;
PEL00015;22012018145201;eva;Bogor;TAR00003;19;
PEL00016;21012018145201;ella;Garut;TAR00004;19;
PEL00017;20012018145201;ardi;Bekasi;TAR00003;19;
PEL00018;19012018145201;dudi;Tasikmalaya;TAR00001;19;
PEL00019;18012018145201;didi;Jakarta;TAR00002;19;
PEL00020;17012018145201;budi;Jakarta;TAR00003;19;
